;date;lhs_belligerents;lhs_leaders;loc;outcome;rhs_leaders;lhs_casualties;lhs_strengths;rhs_casualties;rhs_strengths;rhs_belligerents
Battle of the Yellow Sea;10 August 1904;Empire of Japan;Tōgō Heihachirō	Dewa Shigetō;Yellow Sea, off Shandong (Shantung) Peninsula, China(37°57.83′N 122°15.49′E﻿ / ﻿37.96383°N 122.25817°ECoordinates: 37°57.83′N 122°15.49′E﻿ / ﻿37.96383°N 122.25817°E);Tactically inconclusiveStrategic Japanese victory;Wilgelm Vitgeft	Pavel Petrovich Ukhtomsky;226 killed & wounded	2 battleships severely damaged	1 battleship slightly damaged	1 protected cruiser slightly damaged;5 battleships	4 armoured cruisers	8 protected cruisers	18 destroyers	30 torpedo boats;340 killed & wounded	1 battleship severely damaged	5 battleships slightly damaged	several ships interned in neutral ports;6 battleships	4 protected cruisers	14 destroyers;Russian Empire
Battle of Waterberg;11 August 1904;German Empire;Lieutenant general	Lothar von Trotha;20°31′0″S 17°14′0″E﻿ / ﻿20.51667°S 17.23333°ECoordinates: 20°31′0″S 17°14′0″E﻿ / ﻿20.51667°S 17.23333°EWaterberg, German South West Africa (present day Namibia);Decisive German victory;Samuel Maharero;26 KIA and 60 WIA;2,000;unknown, but high;3,500 - 6,000 warriors with their families;Herero people
Battle of Liaoyang;25 August – 5 September 1904;Empire of Japan;Ōyama Iwao;South of Liaoyang, ChinaCoordinates: 41°47′44″N 123°26′53″E﻿ / ﻿41.79556°N 123.44806°E;Japanese victory;Aleksey Kuropatkin;22,922[5]	5,537 killed	18,603 wounded;115 battalions, 33 squadrons, 484 guns[1][2] 127,360 men;19,112[6]	3,611 killed	14,301 wounded;208.5 battalions, 153 squadrons, 673 guns,[1][3] 245,300 men[4];Russian Empire
Battle of Shinanah (1904);29 September 1904;Rashidi dynasty;Wikimedia Error;Shinanah [ar], Qassim region, ArabiaCoordinates: 25°48′46″N 43°26′47″E﻿ / ﻿25.8128°N 43.4463°E;Emirate of Riyadh (Saudi) victory;Wikimedia Error;Unknown;25,000;Unknown;10,000;Emirate of Nejd and Hasa
Battle of Sha-ho River;5–17 October 1904;Empire of Japan;Ōyama Iwao;South of Mukden on the Sha River, Manchuria;Strategically inconclusiveTactical Japanese victoryRussians forced to retreat;Aleksey Kuropatkin;21,125	4,099 killed	16,398 wounded	628 captured;170,000;41,351	5,084 killed	30,506 wounded	4,869 MIA[1];210,000;Russian Empire
Siege of Port Arthur;August 1, 1904 – January 2, 1905(5months and 1day);Empire of Japan;Nogi Maresuke	Kodama Gentarō	Tōgō Heihachirō;Port Arthur (Modern Lüshunkou District, China);Japanese victory;Roman Kondratenko	Anatoly Stessel	Alexander Fok	Konstantin Smirnov	Wikimedia Error;57,780 army casualties,[1] plus 33,769 wounded.[1] 16 warships lost including 2 battleships and 4 cruisers.[1];150,000 troops	51,000 reserves	474 artillery pieces;31,306 army casualties during the siege,[1] 24,369 soldiers surrendered at the end of the siege.[1] Entire fleet lost.[1];50,000 troops	44,000 volunteers	12,000 sailors	7,000 recruits	506 artillery pieces;Russian Empire
Battle of Mukden;20 February – 10 March 1905(2weeks and 4days);Empire of Japan;Ōyama Iwao;South of Mukden (modern Shenyang), Manchuria;Japanese victory[1];Aleksey Kuropatkin;75,504 total:	15,892 killed	59,612 wounded[4][5];262,900 infantry	7,350 cavalry	992 guns	200 machine guns[2];88,352 total:	8,705 killed	51,438 wounded	28,209 MIA, of those 22,000 fell into captivity[6];340,000 troops[3]	1,219 guns	88 machine guns[2];Russian Empire
Battle of Tsushima;27–28 May 1905;Empire of Japan;Tōgō Heihachirō	Kamimura Hikonojō	Dewa Shigetō;Straits of Tsushima34°33.98′N 130°9.06′E﻿ / ﻿34.56633°N 130.15100°ECoordinates: 34°33.98′N 130°9.06′E﻿ / ﻿34.56633°N 130.15100°E;Decisive Japanese victory[1];Zinovy Rozhestvensky	Nikolai Nebogatov	Wikimedia Error;117 dead	583 injured	3 torpedo boats sunk	(450 tons sunk);5 battleships	23 cruisers	20 destroyers	16 torpedo boats	plus auxiliary vessels;5045 dead	803 injured	6016 captured	6 battleships sunk	1 coastal battleship sunk	14 other ships sunk	7 ships captured	6 ships disarmed	(126,792 tons sunk);8 battleships	3 coastal battleships	8 cruisers	9 destroyers	plus auxiliary vessels;Russian Empire
Battle of Tarafiyah (1907);24 September 1907;Rashidi dynasty	Mutayr	Al-Qassim Region	Ottoman Empire;Wikimedia Error	Faisal al-Duwaish	Muhammad Abdullah Abalkhail	Al-Qassim Region;Tarafiyah, Qassim region, ArabiaCoordinates: 26°21′52″N 43°58′34″E﻿ / ﻿26.3645784°N 43.9762473°E;Emirate of Riyadh (Saudi) victory;Ibn Saud;Unknown;12,000;Unknown;10,000;Emirate of Riyadh
Battle of Casas Grandes;March 6, 1911;Francisco I. Madero;General officer	Francisco I. Madero;Casas Grandes, Chihuahua, Mexico;Mexican victory;Colonel	Agustín A. Valdez	Colonel	Samuel García Cuellar;58 killed,	unknown wounded,	41 captured;~600 rebels[1];37 killed,	60 wounded;~1,100	infantry,	cavalry,	2 artillery pieces;Mexico
Battle of Tripoli (1911);3–10 October 1911;Kingdom of Italy;Luigi Faravelli	Umberto Cagni;Tripoli, Tripolitania, Ottoman Empire (now Libya);Italian victory;Neshat Bey;;1,700 troops	4 battleships	4 armoured cruisers	1 protected cruiser;;3,000 troops	1 gunboat;Ottoman Empire
Battle of Ain Zara;4 December 1911;Kingdom of Italy;Guglielmo Pecori Giraldi;Ain Zara oasisOttoman Tripolitania (now Libya);Italian victory;Mustafa Kemal Atatürk;17 killed and 171 wounded;12,000;Ottoman forces: 50+ killed, 50 wounded	Arab forces: 100+ killed, unknown wounded;8,000;Ottoman Empire
Battle of Tobruk (1911);22 December 1911[1] or 9 January 1912[2] (9 Kânunsani 1327 = 22 January 1912);Kingdom of Italy;Carlo Caneva;Tobruk, Ottoman Empire (now Libya);Ottoman victory;Mustafa Kemal Atatürk	Enver Pasha;;Unknown;;Unknown (probably smaller);Ottoman Empire	Senussi
Battle of Sarantaporo;9–10 October 1912[Note 1];Kingdom of Greece;Constantine I of Greece;Sarantaporo, Manastir Vilayet, Ottoman Empire (present-day Greece)Coordinates: 40°02′24″N 22°01′48″E﻿ / ﻿40.0400°N 22.0300°E;Greek victory Greek army captures Servia and Kozani;Hasan Tahsin Pasha;182 killed	1,000 wounded;5 divisions;500 killed	1,000 wounded	22–25 field artillery pieces;2 divisions;Ottoman Empire
Battle of Kumanovo;23–24 October 1912;Kingdom of Serbia	Kingdom of Bulgaria;Radomir Putnik	Alexander I of Yugoslavia	Stepa Stepanović	Božidar Janković;Kumanovo district, Sanjak of Üsküp, Kosovo Vilayet, Ottoman Empire(now Kumanovo, North Macedonia);Serbian victory;Zeki Pasha	Vardar Army	Wikimedia Error;687 killed	3,280 wounded	597 missing[2]	Total:	4,564	(Some sources give figures of 7,000 casualties)[3];132,000 men	148 artillery pieces	100 machine guns[1];1,200 killed	3,000 wounded	327 captured	98 artillery pieces lost[2]	Total:	4,500	(Some sources give figures of 7,000 casualties)[3];65,000 men	164 artillery pieces	104 machine guns[1];Ottoman Empire
Battle of Kirk Kelesse;24 October 1912;History of Bulgaria (1878–1946);Radko Dimitriev	Ivan Fichev;Kırkkilise District, Adrianople Vilayet, Ottoman Empire(now Kırklareli, Turkey)41°44′05″N 27°13′31″E﻿ / ﻿41.73472°N 27.22528°ECoordinates: 41°44′05″N 27°13′31″E﻿ / ﻿41.73472°N 27.22528°E;Decisive Bulgarian victory;Mahmud Muhtar Pasha	Kölemen Abdullah Pasha;887 killed, 4,034 wounded and 824 missing[2];153,745 men[1];1,500 killed and wounded,[2]	2,000–3,000 prisoners[2]	58 artillery captured,	2 airplanes captured;98,326 men[1];Ottoman Empire
Battle of Pente Pigadia;24–30 October 1912[Note 1];Wikimedia Error;Konstantinos Sapountzakis;Beshpinar, Janina Vilayet, Ottoman Empire (present-day Pente Pigadia, Greece)Coordinates: 39°23′N 20°55′E﻿ / ﻿39.383°N 20.917°E;Greek victory;Mehmet Esat Bülkat;26 dead	222 wounded;2 Evzone Battalions;;5 Βattalions;Ottoman Empire
Battle of Lule Burgas;28 October – 2 November 1912;History of Bulgaria (1878–1946);Radko Dimitriev	Ivan Fichev	Vasil Kutinchev	Kliment Boyadzhiev;"Burgos, Kirk Kilisse District, Adrianople Vilayet, Ottoman Empire(present day: Lüleburgaz;Bunarhisar, Turkey)41°24′20″N 27°21′25″E﻿ / ﻿41.40556°N 27.35694°ECoordinates: 41°24′20″N 27°21′25″E﻿ / ﻿41.40556°N 27.35694°E";Decisive Bulgarian victory[1];Kölemen Abdullah Pasha;2,536 killed,	17,000 wounded[4];"108,000	116 machine guns; 360 guns[2]";22,000 killed and wounded[5]	2,800 captured[6]	50 guns captured[7];130,000	300 guns[3];Ottoman Empire
Battle of Vevi (1912);3–6 November[O.S. 22–24 October]1912;Kingdom of Greece;Dimitrios Matthaiopoulos;Sorovich, Manastir Vilayet, Ottoman Empire (present day Amyntaio, Greece);Ottoman victory;Hasan Rıza Pasha;168 killed	196 wounded	10 POW;7,080 men;;20,000 men;Ottoman Empire
Battle of Monastir;16–19 November 1912;Kingdom of Serbia;Petar Bojović;41°01′58″N 21°20′25″E﻿ / ﻿41.032799°N 21.34029°ECoordinates: 41°01′58″N 21°20′25″E﻿ / ﻿41.032799°N 21.34029°E, Monastir District, Manastir Vilayet, Ottoman Empire(present day: Near Bitola, North Macedonia);Serbian victory[1];Zeki Pasha;539 killed	2121 wounded[4];108,544[2];3,000 killed and wounded	5,600 captured	5,000 deserted[5];38,350[3];Ottoman Empire
First Battle of Çatalca;17 and 18 November[O.S. 4–5 November]1912;History of Bulgaria (1878–1946);Radko Dimitriev;Çatalca Line41°08′30″N 28°27′47″E﻿ / ﻿41.14167°N 28.46306°ECoordinates: 41°08′30″N 28°27′47″E﻿ / ﻿41.14167°N 28.46306°E;Indecisive;Nazım Pasha;1,506 killed	9,127 wounded	1,391 missing	Total: 12,024[1];176,430 men	(118,092 rifles, 146 MGs, 462 guns, 56,410 animals, 20 aircraft);5,000 - 10,000 killed and wounded[1];140,571 men	(103,514 rifles, 62 MGs, 316 guns, 22,058 animals, 5-8 aircraft);Ottoman Empire
Battle of Bizani;March, 4–6[O.S. February, 19–21]1913;Kingdom of Greece;Constantine I of Greece;Bizani, Janina Vilayet, Ottoman Empire(now Bizani, Greece)39°33′58″N 20°53′33″E﻿ / ﻿39.56611°N 20.89250°ECoordinates: 39°33′58″N 20°53′33″E﻿ / ﻿39.56611°N 20.89250°E;Greek victory Surrender of Ioannina End of First Balkan war;Mehmet Esat Bülkat	Wehib Pasha;500 killed and wounded[1];41,000 soldiers	4 infantry divisions	1 cavalry brigade	1 cavalry regiment	105 guns;2,800 killed[2][3][4]	8,600 captured;35,000 soldiers	4 infantry divisions	Unknown number of irregulars	162 guns;Ottoman Empire
Battle of Adrianople (1913);3 November 1912 – 26 March 1913;Kingdom of Bulgaria	Kingdom of Serbia;Nikola Ivanov	Stepa Stepanović;Edirne District, Vilayet of Edirne, Ottoman Empire(present day Edirne, Turkey);Decisive Bulgarian and Serbian victory;Kölemen Abdullah Pasha	Mustafa Kemal Atatürk;: 1,298 killed, 6,655 wounded[1]	: 453 killed, 1,917 wounded[6];"106,425 Bulgarians (424 guns);[1]	47,275 Serbs (62 field guns, 34 howitzers)[2]";Bulgarian claim: ca. 7,000 killed	Captured:	65,000 soldiers, 15 generals, 2,000 officers, 600 artillery guns, 16 flags[1][7]	Turkish claim:13,000 killed and wounded	42,500 captured[4];60,000[3] - 75,000[1] (Bulgarian claims)	52.597 (340 guns)[4][5];Ottoman Empire
Battle of Kilkis–Lachanas;19–21 June 1913 (O.S.);Kingdom of Bulgaria;Nikola Ivanov;Kilkis (present-day Greece);Greek victory;Constantine I of Greece;6,971 killed and wounded,[2] 2,500 men and 19 artillery pieces captured[3];75,076 men, 175 guns (57 infantry battalions, 10 cavalry squadrons)[1];8,828 killed and wounded[3];117,861 men, 176 guns (73 Infantry Battalions, 8 Cavalry Squadrons);Kingdom of Greece
Battle of Bregalnica;30 June – 9 July 1913;Kingdom of Bulgaria;Mihail Savov	Stiliyan Kovachev	Radko Dimitriev;Bregalnica, Ottoman Empire (present-day North Macedonia);Serbian victory;Radomir Putnik	Petar Bojović	Alexander I of Yugoslavia	Živojin Mišić	Janko Vukotić	Krsto Popović;Over 20,000 killed or wounded[1];4th Bulgarian Army - 116,000 men with 210 guns	5th Bulgarian Army - 68,000 men with 118 guns	Total: 184,000 people (100 Infantry Battalions, 6 Cavalry Regiments, 63 Artillery Batteries);"Total 16,620; of whom 3,000 killed[1]";"1st Serbian Army - 105,000 men with 145 guns	3rd Serbian Army - 70,000 men with 97 guns	Montenegrin Division - 10,000 men and 6000 volunteers from the Volunteer Brigade	Total; 191,000 people (104 Infantry Battalions, 34 Cavalry Companies, 62 Artillery Batteries)";Kingdom of Serbia	Kingdom of Montenegro
Battle of Kresna Gorge;July, 21–31[O.S. July, 8–18]1913;Kingdom of Bulgaria;Mihail Savov	Nikola Ivanov;Kresna Gorge, Bulgaria;Stalemate brought about by truce;Constantine I of Greece;;110 battalions[citation needed];10,000[1];80 battalions[citation needed];Kingdom of Greece
Battle of Kalimantsi;18-19 July 1913 (N.S.)[1](5-6 July in O.S.);Kingdom of Bulgaria;Mihail Savov	Vicho Dikov;Kalimanci (present-day North Macedonia);Bulgarian victory;Božidar Janković;2,400 killed	4,620 wounded[2];2 armies;:	2,500 killed	4,850 wounded[1]	:	107 killed	570 wounded[1];Serbia:	1 army	Montenegro:	1 division[1];Kingdom of Serbia	Kingdom of Montenegro
Battle of Liège;5–16 August 1914;German Empire;Otto von Emmich	Erich Ludendorff;Liège, Belgium50°28′26″N 5°34′20″E﻿ / ﻿50.47389°N 5.57222°ECoordinates: 50°28′26″N 5°34′20″E﻿ / ﻿50.47389°N 5.57222°E;See Aftermath section;Gérard Leman;3,300 (by 8 August)[4];28,900–31,200 troops	140 guns[1];6,000–20,000 casualties	including 4,000 captured;32,000 troops	280 guns.[2][3];Belgium
Battle of Mulhouse;7–10, 14–26 August 1914;French Third Republic;Augustin Dubail	Louis Bonneau	Paul Pau;Vicinity of Mulhouse, Alsace47°44′58″N 7°20′24″E﻿ / ﻿47.74944°N 7.34000°ECoordinates: 47°44′58″N 7°20′24″E﻿ / ﻿47.74944°N 7.34000°E;German victory;Josias von Heeringen;2,500 PoW;First Army	VII Corps	(45,000 men)	Army of Alsace;3,000 PoW;7th Army	XIV and XV Corps	(30,000 men engaged);German Empire
Battle of Lorraine;14–25 August 1914;German Empire;Konrad Krafft von Dellmensingen	Rupprecht, Crown Prince of Bavaria	Josias von Heeringen;Lorraine49°02′02″N 06°39′43″E﻿ / ﻿49.03389°N 6.66194°ECoordinates: 49°02′02″N 06°39′43″E﻿ / ﻿49.03389°N 6.66194°E;German victory;Augustin Dubail	Noël Édouard, vicomte de Curières de Castelnau	Ferdinand Foch;66,500;6th Army;;Second Army;French Third Republic
Battle of Cer;15–24 August 1914[a];Austria-Hungary;Oskar Potiorek	Eduard von Böhm-Ermolli	Liborius Ritter von Frank;Cer Mountain and surrounding towns and villages in the northwestern portion of the Kingdom of Serbia;Serbian victory[4][5];Radomir Putnik	Stepa Stepanović	Pavle Jurišić Šturm;6,000–10,000 killed	30,000 wounded	4,500 captured	46 guns captured	30 machine guns captured	140 ammunition wagons captured;200,000;3,000–5,000 killed	15,000 wounded;180,000;Kingdom of Serbia
Battle of Stallupönen;August 17, 1914;German Empire;Hermann von François;Stallupönen, East Prussia (now Nesterov, Russia);German victory;Paul von Rennenkampf;1,297[3];18,000[1];619 killed	2,382 wounded	4,466 captured	Total:	7,467[4];50,000[2];Russian Empire
Battle of Gumbinnen;20 August 1914;German Empire;Maximilian von Prittwitz;Gumbinnen, East Prussia (now Gusev, Russia)54°36′N 22°12′E﻿ / ﻿54.600°N 22.200°ECoordinates: 54°36′N 22°12′E﻿ / ﻿54.600°N 22.200°E;Russian victory;Paul von Rennenkampf;1,250 killed	6,414 wounded	6,943 captured	Total:	14,607[1];148,800;18,839[2];192,000;Russian Empire
Battle of the Ardennes;21–23 August 1914;French Third Republic;Pierre Ruffey	Fernand de Langle de Cary;Ardennes region, Belgian–French frontierCoordinates: 50°15′N 5°40′E﻿ / ﻿50.250°N 5.667°E;German victory;Albrecht, Duke of Württemberg	Wilhelm, German Crown Prince;42,557;Third Army	Fourth Army;14,940;4th Army	5th Army;German Empire
Battle of Charleroi;21–23 August 1914;German Empire;Karl von Bülow	Max von Hausen;Near Charleroi, Belgium50°24′N 04°26′E﻿ / ﻿50.400°N 4.433°ECoordinates: 50°24′N 04°26′E﻿ / ﻿50.400°N 4.433°E;German victory;Charles Lanrezac	Joseph Joffre;11,000 killed;2nd Army	3rd Army;27,000 killed [1];Fifth Army;French Third Republic
Battle of Mons;23 August 1914;United Kingdom of Great Britain and Ireland;John French, 1st Earl of Ypres	Horace Smith-Dorrien;Mons, Belgium50°27′N 03°57′E﻿ / ﻿50.450°N 3.950°ECoordinates: 50°27′N 03°57′E﻿ / ﻿50.450°N 3.950°E;See Analysis section;Alexander von Kluck;1,638;2 corps	1 cavalry division	1 cavalry brigade	300 guns;2,000–5,000;4 corps	3 cavalry divisions	600 guns;German Empire
Battle of Tannenberg;26–30 August 1914;German Empire;Paul von Hindenburg	Erich Ludendorff	Max Hoffmann;Near Allenstein, East Prussia (today Olsztyn, Poland)53°29′45″N 20°08′4″E﻿ / ﻿53.49583°N 20.13444°ECoordinates: 53°29′45″N 20°08′4″E﻿ / ﻿53.49583°N 20.13444°E;German victory Destruction of the Russian 1st and 2nd Armies Russian Army retreats from East Prussia;Alexander Samsonov	Paul von Rennenkampf;21–30 August:	13,873+:[3]	1,726+ KIA	7,461 WIA	4,686 MIA;150,000[1]	294 machine guns	728 guns and howitzers;122,000–170,000:	30,000–78,000 killed or wounded	92,000 POW	350–500 guns captured[4][5];230,000[2]	384 machine guns	612 guns and howitzers;Russian Empire
Battle of the Trouée de Charmes;24–26 August 1914;French Third Republic;Noël Édouard, vicomte de Curières de Castelnau;Between Lunéville and Charmes, Meurthe-et-Moselle, France48°40′N 06°10′E﻿ / ﻿48.667°N 6.167°ECoordinates: 48°40′N 06°10′E﻿ / ﻿48.667°N 6.167°E;French victory;Rupprecht, Crown Prince of Bavaria;;Second Army (150,000 men);;6th Army (150,000 men);German Empire
Battle of Le Cateau;26 August 1914;German Empire;Friedrich Sixt von Armin	Georg von der Marwitz;Le Cateau-Cambrésis, France50°06′15″N 03°32′40″E﻿ / ﻿50.10417°N 3.54444°ECoordinates: 50°06′15″N 03°32′40″E﻿ / ﻿50.10417°N 3.54444°E;German victory;Horace Smith-Dorrien;2,900;23 infantry battalions	18 cavalry regiments (9 at half strength)	6 divisional cavalry squadrons	162 guns (27 batteries)	84 machine-guns;7,812 (700 killed, 2,600 captured)	38 guns;40 infantry battalions	12 cavalry regiments	2 divisional cavalry squadrons	246 guns (41 batteries)	c. 80 machine-guns;United Kingdom of Great Britain and Ireland	French Third Republic
